Simulation 1,s1,s2,,Simulation 2,s1,s2,,Simulation 2,s1,s2,,Simulation 1,
0,100,100,,0,100,100,,0,100,100,,Rate1,0.01
0.01,100.011,100.032,,0.01,100.011,100.03,,0.01,100.011,100.028,,Rate2,0.03
0.02,101.389,102.456,,0.02,101.389,102.258,,0.02,101.389,97.6644,,Vol1,20%
0.03,103.293,105.837,,0.03,103.293,98.252,,0.03,103.293,94.5001,,Vol2,40%
0.04,105.593,109.973,,0.04,105.593,97.3432,,0.04,105.593,90.8638,,Rho,1
0.05,103.311,105.828,,0.05,103.311,99.7398,,0.05,103.311,94.3427,,,
0.06,102.912,105.125,,0.06,102.912,100.656,,0.06,102.912,95.0258,,Simulation 2,
0.07,101.453,102.531,,0.07,101.453,97.1231,,0.07,101.453,97.4282,,Rate1,0.01
0.08,102.738,104.816,,0.08,102.738,102.81,,0.08,102.738,95.3153,,Rate2,0.03
0.09,103.377,105.971,,0.09,103.377,101.087,,0.09,103.377,94.3223,,Vol1,20%
0.1,101.845,103.235,,0.1,101.845,97.1434,,0.1,101.845,96.8138,,Vol2,40%
0.11,98.4488,97.2238,,0.11,98.4488,99.3404,,0.11,98.4488,102.509,,Rho,0
0.12,100.84,101.369,,0.12,100.84,100.327,,0.12,100.84,98.2006,,,
0.13,98.0262,96.4312,,0.13,98.0262,101.972,,0.13,98.0262,103.043,,Simulation 3,
0.14,98.3334,96.9722,,0.14,98.3334,100.141,,0.14,98.3334,102.526,,Rate1,0.01
0.15,100.274,100.334,,0.15,100.274,96.5664,,0.15,100.274,99.0336,,Rate2,0.03
0.16,102.055,103.465,,0.16,102.055,95.3587,,0.16,102.055,96.0024,,Vol1,20%
0.17,99.9334,99.7132,,0.17,99.9334,98.5272,,0.17,99.9334,99.5414,,Vol2,40%
0.18,102.994,105.07,,0.18,102.994,101.723,,0.18,102.994,94.2537,,Rho,-1
0.19,101.018,101.556,,0.19,101.018,100.559,,0.19,101.018,97.4624,,,
0.2,100.406,100.492,,0.2,100.406,100.067,,0.2,100.406,98.5419,,,
0.21,98.5004,97.1664,,0.21,98.5004,104.204,,0.21,98.5004,101.862,,,
0.22,98.2686,96.7783,,0.22,98.2686,106.293,,0.22,98.2686,102.33,,,
0.23,93.9543,89.3549,,0.23,93.9543,105.597,,0.23,93.9543,110.241,,,
0.24,92.4654,86.888,,0.24,92.4654,111.151,,0.24,92.4654,113.35,,,
0.25,90.2446,83.2469,,0.25,90.2446,120.158,,0.25,90.2446,118.168,,,
0.26,88.935,81.1433,,0.26,88.935,125.132,,0.26,88.935,121.225,,,
0.27,89.9982,82.851,,0.27,89.9982,129.326,,0.27,89.9982,118.747,,,
0.28,87.6231,79.0349,,0.28,87.6231,135.985,,0.28,87.6231,124.288,,,
0.29,87.6231,79.0349,,0.29,87.6231,135.985,,0.29,87.6231,124.288,,,
0.3,89.1051,81.4016,,0.3,89.1051,142.578,,0.3,89.1051,120.767,,,
0.31,87.9244,79.5242,,0.31,87.9244,147.529,,0.31,87.9244,123.625,,,
0.32,89.5887,82.1684,,0.32,89.5887,153.09,,0.32,89.5887,119.588,,,
0.33,91.5321,85.2979,,0.33,91.5321,152.738,,0.33,91.5321,115.105,,,
0.34,92.7444,87.2856,,0.34,92.7444,152.526,,0.34,92.7444,112.492,,,
0.35,93.762,88.9725,,0.35,93.762,146.045,,0.35,93.762,110.386,,,
0.36,93.9451,89.2876,,0.36,93.9451,145.972,,0.36,93.9451,110.061,,,
0.37,96.2117,93.0688,,0.37,96.2117,150.065,,0.37,96.2117,105.466,,,
0.38,95.3185,91.5684,,0.38,95.3185,152.935,,0.38,95.3185,107.23,,,
0.39,93.5036,88.5287,,0.39,93.5036,144.968,,0.39,93.5036,110.854,,,
0.4,94.6275,90.4019,,0.4,94.6275,151.138,,0.4,94.6275,108.574,,,
0.41,91.119,84.5476,,0.41,91.119,152.39,,0.41,91.119,115.671,,,
0.42,92.556,86.8915,,0.42,92.556,146.527,,0.42,92.556,112.533,,,
0.43,92.7299,87.188,,0.43,92.7299,144.506,,0.43,92.7299,112.217,,,
0.44,93.905,89.1325,,0.44,93.905,142.553,,0.44,93.905,109.781,,,
0.45,92.5448,86.8842,,0.45,92.5448,130.591,,0.45,92.5448,112.617,,,
0.46,92.0951,86.1562,,0.46,92.0951,130.214,,0.46,92.0951,113.628,,,
0.47,93.2377,88.0376,,0.47,93.2377,127.432,,0.47,93.2377,111.215,,,
0.48,92.5856,86.9711,,0.48,92.5856,131.945,,0.48,92.5856,112.629,,,
0.49,94.4054,89.9735,,0.49,94.4054,140.862,,0.49,94.4054,108.808,,,
0.5,92.7922,87.2941,,0.5,92.7922,133.698,,0.5,92.7922,112.114,,,
0.51,93.1615,87.9131,,0.51,93.1615,138.447,,0.51,93.1615,111.386,,,
0.52,90.0378,82.7655,,0.52,90.0378,138.787,,0.52,90.0378,117.975,,,
0.53,89.7825,82.3652,,0.53,89.7825,133.626,,0.53,89.7825,118.616,,,
0.54,89.9228,82.6008,,0.54,89.9228,128.83,,0.54,89.9228,118.348,,,
0.55,87.6471,78.9529,,0.55,87.6471,133.24,,0.55,87.6471,123.646,,,
0.56,87.0064,77.9528,,0.56,87.0064,133.781,,0.56,87.0064,125.286,,,
0.57,86.8971,77.7911,,0.57,86.8971,136.003,,0.57,86.8971,125.621,,,
0.58,86.8971,77.7911,,0.58,86.8971,136.003,,0.58,86.8971,125.621,,,
0.59,84.3546,73.8478,,0.59,84.3546,133.51,,0.59,84.3546,132.299,,,
0.6,83.1628,72.031,,0.6,83.1628,134.452,,0.6,83.1628,135.633,,,
0.61,86.5777,77.2162,,0.61,86.5777,127.977,,0.61,86.5777,125.95,,,
0.62,83.6599,72.6718,,0.62,83.6599,135.87,,0.62,83.6599,133.439,,,
0.63,83.8207,72.9253,,0.63,83.8207,137.036,,0.63,83.8207,133.053,,,
0.64,83.0072,71.6959,,0.64,83.0072,125.789,,0.64,83.0072,135.376,,,
0.65,80.8485,68.4419,,0.65,80.8485,131.642,,0.65,80.8485,141.602,,,
0.66,83.4913,72.3657,,0.66,83.4913,137.13,,0.66,83.4913,133.568,,,
0.67,83.5619,72.4818,,0.67,83.5619,138.729,,0.67,83.5619,133.434,,,
